[DBG] sensorHeight=65.0
Returned to Origin, Ready to Scan
[DBG] numPts=1500
190.00 140.00 17.00
190.00 130.00 15.00
190.00 120.00 16.00
190.00 110.00 15.00
190.00 100.00 15.00
190.00 90.00 15.00
190.00 80.00 15.00
190.00 70.00 14.00
190.00 60.00 14.00
190.00 50.00 14.00
190.00 40.00 14.00
190.00 30.00 14.00
190.00 20.00 14.00
190.00 10.00 14.00
190.00 0.00 15.00
200.00 0.00 14.00
200.00 10.00 10.00
200.00 20.00 8.00
200.00 30.00 9.00
200.00 40.00 9.00
200.00 50.00 8.00
200.00 60.00 8.00
200.00 70.00 8.00
200.00 80.00 9.00
200.00 90.00 9.00
200.00 100.00 11.00
200.00 110.00 11.00
200.00 120.00 11.00
200.00 130.00 11.00
200.00 140.00 12.00
200.00 150.00 12.00
200.00 160.00 12.00
200.00 170.00 11.00
200.00 180.00 13.00
200.00 190.00 13.00
200.00 200.00 12.00
200.00 210.00 13.00
200.00 220.00 13.00
200.00 230.00 12.00
200.00 240.00 10.00
200.00 250.00 12.00
200.00 260.00 14.00
200.00 270.00 14.00
200.00 280.00 13.00
200.00 290.00 14.00
200.00 300.00 14.00
200.00 310.00 14.00
200.00 320.00 15.00
200.00 330.00 14.00
200.00 340.00 14.00
200.00 350.00 15.00
200.00 360.00 14.00
200.00 370.00 14.00
200.00 380.00 14.00
200.00 390.00 15.00
200.00 400.00 14.00
200.00 410.00 15.00
200.00 420.00 15.00
200.00 430.00 15.00
200.00 440.00 15.00
200.00 450.00 15.00
200.00 460.00 15.00
200.00 470.00 15.00
200.00 480.00 14.00
200.00 490.00 14.00
200.00 500.00 14.00
210.00 500.00 1.00
210.00 490.00 1.00
210.00 480.00 1.00
210.00 470.00 1.00
210.00 460.00 1.00
210.00 450.00 1.00
210.00 440.00 1.00
210.00 430.00 1.00
210.00 420.00 1.00
210.00 410.00 1.00
210.00 400.00 1.00
210.00 390.00 1.00
210.00 380.00 1.00
210.00 370.00 1.00
210.00 360.00 1.00
210.00 350.00 1.00
210.00 340.00 1.00
210.00 330.00 1.00
210.00 320.00 1.00
210.00 310.00 1.00
210.00 300.00 1.00
210.00 290.00 1.00
210.00 280.00 1.00
210.00 270.00 1.00
210.00 260.00 1.00
210.00 250.00 1.00
210.00 240.00 1.00
210.00 230.00 1.00
210.00 220.00 1.00
210.00 210.00 1.00
210.00 200.00 1.00
210.00 190.00 2.00
210.00 180.00 3.00
210.00 170.00 2.00
210.00 160.00 2.00
210.00 150.00 2.00
210.00 140.00 2.00
210.00 130.00 2.00
210.00 120.00 3.00
210.00 110.00 6.00
210.00 100.00 4.00
210.00 90.00 6.00
210.00 80.00 6.00
210.00 70.00 6.00
210.00 60.00 6.00
210.00 50.00 6.00
210.00 40.00 7.00
210.00 30.00 7.00
210.00 20.00 7.00
210.00 10.00 4.00
210.00 0.00 2.00
220.00 0.00 3.00
220.00 10.00 3.00
220.00 20.00 4.00
220.00 30.00 4.00
220.00 40.00 4.00
220.00 50.00 6.00
220.00 60.00 6.00
220.00 70.00 6.00
